temperature,humidity,ph,ec,label,ec_source,source_dataset
23.49,68.77,6.71,0.436,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.21,56.24,6.27,2.377,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.92,50.71,7.07,2.565,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.57,67.76,7.42,2.251,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.38,64.3,7.36,1.009,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.16,50.53,7.12,2.486,Blé,synthetic_catalog,ml_model.rules.crop_catalog
25.19,72.39,6.78,2.388,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.02,49.15,6.9,1.915,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.97,50.0,6.9,0.232,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.15,59.21,6.92,2.29,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.21,64.14,6.4,0.678,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.22,74.29,6.42,0.564,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.96,65.21,7.52,0.642,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.14,48.7,7.05,1.032,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.8,56.95,6.22,2.249,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.05,64.91,6.43,0.748,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.93,71.23,6.81,1.717,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.48,51.63,7.46,1.272,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.94,46.39,6.03,1.476,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.68,61.71,6.97,0.877,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.16,50.73,5.98,1.201,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.03,70.84,6.3,1.23,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.51,70.98,6.73,0.59,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.6,51.79,5.92,1.706,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.88,71.43,7.42,0.545,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.56,70.94,7.05,0.958,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.7,67.52,6.68,0.407,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.53,51.58,7.2,0.95,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.95,51.41,6.26,2.477,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.6,64.64,7.35,1.347,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.13,65.89,6.85,0.321,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.13,54.65,6.86,1.862,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.56,73.95,6.76,2.051,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.58,71.44,7.05,2.373,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.07,58.02,7.32,1.486,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.63,61.99,7.3,2.01,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.51,54.39,6.71,2.252,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.73,63.11,6.87,1.348,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.99,53.95,6.87,2.318,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.94,70.64,6.2,1.354,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.82,63.49,6.83,0.454,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.87,72.37,7.39,2.304,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.37,58.82,7.2,1.415,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.28,69.95,7.14,1.085,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.48,53.93,6.16,0.437,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.86,61.45,6.45,2.273,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.4,55.48,7.42,1.975,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.77,62.95,6.2,2.483,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.78,61.56,6.46,0.491,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.61,62.2,6.82,2.504,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.04,54.78,6.46,0.949,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.23,73.07,7.31,1.667,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.73,53.4,6.17,1.672,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.42,70.36,6.88,1.324,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.61,67.7,5.95,2.229,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.3,77.28,7.1,1.554,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.19,60.36,6.48,1.212,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.45,67.9,5.93,0.615,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.77,66.8,6.39,0.879,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.43,59.34,7.25,0.786,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.16,58.99,5.99,2.292,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.08,69.44,6.87,1.593,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.01,71.19,7.37,1.968,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.7,56.31,6.44,1.535,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.82,70.23,5.93,2.15,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.23,52.43,7.42,0.66,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.73,75.01,6.24,0.831,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.52,72.12,6.59,1.415,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.0,74.85,6.18,2.546,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.1,52.32,6.59,2.05,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.84,68.18,6.72,0.537,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.67,61.37,6.08,1.185,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.13,70.38,6.05,2.072,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.3,62.44,6.39,1.36,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.79,54.39,7.18,0.367,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.58,61.89,6.16,1.241,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.93,68.99,6.3,0.744,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.98,74.32,6.01,1.431,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.8,65.75,6.85,0.856,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.83,68.18,5.89,2.287,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.61,63.76,7.46,0.852,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.21,53.24,6.27,0.597,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.06,57.26,6.56,1.565,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.31,49.74,5.99,0.587,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.58,64.72,6.11,0.899,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.22,52.01,6.75,1.051,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.74,57.93,7.22,0.982,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.37,69.55,6.46,1.359,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.86,62.6,6.52,0.379,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.31,54.47,7.12,2.155,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.45,54.21,6.62,1.534,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.68,63.63,6.94,1.405,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.26,58.22,6.63,0.787,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.05,65.1,7.39,0.554,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.11,71.78,6.65,1.695,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.42,54.57,7.29,1.046,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.54,63.97,6.2,0.941,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.17,59.88,6.27,0.906,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.69,73.94,6.17,2.187,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.63,49.84,7.68,0.234,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.93,52.25,7.28,2.157,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.94,63.68,6.74,2.497,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.2,76.77,7.38,2.175,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.14,53.9,6.83,2.385,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.75,61.08,6.55,0.32,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.07,76.22,6.09,0.822,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.04,70.58,6.33,0.514,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.51,74.11,6.98,2.22,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.65,56.99,6.42,2.377,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.54,57.37,6.91,1.274,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.82,71.56,6.03,1.388,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.0,64.4,6.66,1.679,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.61,77.57,7.3,0.38,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.17,60.48,7.29,1.028,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.14,60.19,7.22,1.785,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.74,55.53,6.76,2.245,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.94,57.27,6.48,2.257,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.43,56.2,6.24,0.907,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.65,49.54,7.08,1.98,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.71,59.68,6.74,0.751,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.24,54.37,6.29,0.76,Blé,synthetic_catalog,ml_model.rules.crop_catalog
25.35,62.21,7.28,2.231,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.78,51.69,6.77,1.162,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.59,50.8,7.05,2.609,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.57,59.83,6.89,0.928,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.28,53.43,7.39,2.068,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.54,70.01,7.38,1.667,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.84,74.44,6.52,0.764,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.71,68.35,6.09,2.514,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.96,68.84,6.46,1.13,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.59,59.17,6.91,2.497,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.22,54.01,7.22,1.163,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.94,57.63,7.33,0.792,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.61,74.66,6.19,1.057,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.66,71.92,7.47,2.279,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.37,55.98,7.14,2.083,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.06,71.51,7.16,1.887,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.98,62.33,6.86,1.969,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.9,66.48,6.31,2.47,Blé,synthetic_catalog,ml_model.rules.crop_catalog
26.09,58.6,6.81,0.434,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.98,69.52,7.48,0.875,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.16,65.01,5.92,1.794,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.44,57.63,6.04,2.331,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.37,70.6,6.36,2.182,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.47,72.98,6.77,1.575,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.7,54.71,7.04,1.522,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.82,71.99,6.15,0.295,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.25,52.05,7.2,1.984,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.8,60.17,6.74,1.26,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.05,56.79,7.16,1.716,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.03,59.48,6.98,0.833,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.4,70.08,6.94,1.733,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.98,60.88,6.2,1.439,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.12,63.79,6.85,1.649,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.09,67.97,6.12,1.229,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.91,70.87,6.35,0.418,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.08,67.69,6.84,2.329,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.62,65.22,6.99,2.283,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.33,71.02,6.43,0.768,Blé,synthetic_catalog,ml_model.rules.crop_catalog
25.68,62.65,7.35,0.72,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.87,64.11,7.46,2.041,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.54,64.2,6.93,1.851,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.32,51.72,6.51,1.857,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.74,54.89,6.47,0.271,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.05,51.09,6.58,0.447,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.06,55.82,6.84,0.621,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.29,70.17,6.6,0.897,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.6,67.99,6.68,1.62,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.54,51.0,6.73,0.251,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.91,52.27,7.47,2.328,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.32,50.6,7.49,2.473,Blé,synthetic_catalog,ml_model.rules.crop_catalog
13.45,59.25,6.71,0.436,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.57,73.48,6.67,2.348,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.28,54.68,7.52,0.823,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.85,54.44,7.4,1.619,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.06,65.04,6.27,1.953,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.83,60.95,6.57,1.65,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.34,53.07,7.07,0.852,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.05,62.43,6.18,1.121,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.26,57.18,6.55,1.049,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.7,61.34,6.52,2.044,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.99,69.88,7.17,2.514,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.89,64.18,6.59,0.148,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.93,65.55,6.71,2.387,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.51,61.54,6.69,0.79,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.42,51.78,6.55,2.407,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.7,61.27,7.1,1.776,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.08,66.39,6.46,1.555,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.1,48.53,6.41,1.923,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.68,63.96,6.95,1.007,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.94,56.38,6.06,0.781,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.5,56.96,6.29,0.913,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.61,48.32,7.22,2.328,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.81,69.74,7.28,1.207,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.76,69.61,7.51,0.357,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.12,72.78,7.22,0.866,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.15,57.61,6.64,0.839,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.7,60.94,6.38,0.726,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.0,70.79,7.42,2.362,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.62,54.89,6.87,2.554,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.06,49.59,7.19,1.373,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.95,73.87,6.31,1.606,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.01,55.21,6.77,0.627,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.71,56.17,6.65,0.664,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.92,52.88,7.15,1.559,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.11,71.66,6.64,1.494,Blé,synthetic_catalog,ml_model.rules.crop_catalog
14.81,56.71,6.28,1.625,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.02,69.48,6.97,1.364,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.43,62.31,7.58,0.344,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.27,61.39,7.31,1.615,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.54,51.21,6.5,1.73,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.85,65.75,6.14,1.885,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.91,64.92,6.5,0.164,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.39,66.16,7.19,1.401,Blé,synthetic_catalog,ml_model.rules.crop_catalog
18.51,62.95,7.16,0.392,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.19,58.4,7.0,2.348,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.17,52.26,7.38,0.612,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.97,61.63,6.24,1.842,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.47,52.62,6.2,0.956,Blé,synthetic_catalog,ml_model.rules.crop_catalog
17.72,69.87,6.0,1.942,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.78,73.76,6.85,0.611,Blé,synthetic_catalog,ml_model.rules.crop_catalog
16.61,73.15,7.0,1.341,Blé,synthetic_catalog,ml_model.rules.crop_catalog
20.55,60.45,6.19,0.367,Blé,synthetic_catalog,ml_model.rules.crop_catalog
21.16,65.54,6.38,0.18,Blé,synthetic_catalog,ml_model.rules.crop_catalog
24.84,53.22,6.23,1.775,Blé,synthetic_catalog,ml_model.rules.crop_catalog
15.76,74.43,6.4,1.529,Blé,synthetic_catalog,ml_model.rules.crop_catalog
22.89,69.94,6.38,0.981,Blé,synthetic_catalog,ml_model.rules.crop_catalog
25.58,73.66,7.01,0.536,Blé,synthetic_catalog,ml_model.rules.crop_catalog
19.57,71.09,6.29,0.395,Blé,synthetic_catalog,ml_model.rules.crop_catalog
23.58,77.38,6.58,1.37,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
22.51,80.71,6.62,1.404,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
20.15,71.71,6.42,0.876,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
22.4,78.57,6.56,0.405,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
20.68,75.17,6.34,1.61,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
22.18,69.7,6.54,1.26,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
21.23,69.04,6.75,0.501,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
21.2,69.1,6.56,1.003,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
23.83,71.11,6.23,1.067,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
23.66,79.66,6.09,1.854,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
23.72,66.81,5.98,1.694,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
21.12,64.5,6.5,1.29,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
21.72,80.75,6.34,1.412,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
22.5,75.07,6.29,1.126,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
23.41,66.71,6.37,0.573,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
22.75,72.24,6.72,1.491,Tomate,synthetic_catalog,ml_model.rules.crop_catalog
